episode,time_penalty,detection_reward,miss_penalty,overlap_penalty,coverage_reward,episode_bonus
387,-50.0,122.0,-60.0,-23.0,26.0,20.0
388,-50.0,272.0,-90.0,0.0,21.0,70.0
389,-50.0,280.0,-20.0,-44.0,34.0,70.0
390,-50.0,148.0,-95.0,-7.0,22.5,20.0
391,-50.0,144.0,-55.0,-32.0,29.5,20.0
392,-50.0,122.0,-10.0,-15.0,25.0,20.0
393,-50.0,288.0,-10.0,-36.0,21.0,20.0
394,-50.0,96.0,-105.0,-8.0,29.5,20.0
395,-50.0,152.0,-70.0,-41.0,20.0,20.0
396,-50.0,138.0,-60.0,-34.0,30.0,70.0
397,-50.0,106.0,-65.0,-61.0,32.5,70.0
398,-50.0,90.0,-125.0,-1.0,30.5,-30.0
399,-50.0,246.0,-60.0,-1.0,29.5,20.0
400,-50.0,188.0,-45.0,-31.0,25.0,20.0
